CustomerID,Lookalikes
C0001,"C0152(0.788), C0120(0.707), C0184(0.676)"
C0002,"C0159(0.924), C0106(0.848), C0134(0.812)"
C0003,"C0129(0.776), C0039(0.664), C0195(0.663)"
C0004,"C0113(0.938), C0012(0.831), C0104(0.805)"
C0005,"C0007(0.905), C0140(0.885), C0159(0.846)"
C0006,"C0187(0.749), C0158(0.630), C0171(0.616)"
C0007,"C0005(0.905), C0140(0.861), C0159(0.763)"
C0008,"C0194(0.813), C0098(0.808), C0109(0.779)"
C0009,"C0198(0.911), C0119(0.901), C0060(0.847)"
C0010,"C0111(0.741), C0062(0.710), C0135(0.649)"
C0011,"C0107(0.847), C0174(0.777), C0153(0.707)"
C0012,"C0039(0.837), C0004(0.831), C0181(0.781)"
C0013,"C0099(0.887), C0087(0.798), C0188(0.767)"
C0014,"C0058(0.832), C0097(0.819), C0062(0.793)"
C0015,"C0033(0.893), C0036(0.863), C0058(0.830)"
C0016,"C0183(0.755), C0042(0.740), C0154(0.715)"
C0017,"C0075(0.932), C0041(0.823), C0057(0.813)"
C0018,"C0117(0.733), C0026(0.689), C0068(0.640)"
C0019,"C0119(0.773), C0121(0.758), C0103(0.680)"
C0020,"C0144(0.828), C0080(0.801), C0110(0.795)"
